/* DATA DESCRIPTION:;;;;;
Citation:;"Andrey Shikhov, Alexander Chernokulsky, Igor Azhigov and Anastasia Semakina (2020): A satellite-derived database of stand-replacing windthrows in boreal forests of the European Russia for the 1986–2017 period
";;;;
Abstract:;"The GIS database contains the data of stand-replacing windthrows in the forest zone of the European Russia (ER) for the 1986–2017 period, and the ArcGIS 10.1/10.2 and Qgis 3* projects to view and analyze the data. The database contains three shapefiles (.shp), corresponding to three hierarchical levels of the data:
• “Elementary damaged area”, that is a single-part polygon of wind-damaged forest; 
• “Windthrow”, that represent a group of closely spaced forest disturbances, i.e., a multipart polygon, associated with one storm event;
• “Storm event track”, that is a cluster of windthrows with identical direction and having the same date (or date range) of occurrence, which was most likely induced by one convective or non-convective storm.
The key fields ID and storm_ID associates each damaged area with the features in the datasets of windthrows and storm event tracks respectively using one-to-many relation.  A single value “?9999” was used for storing NoData in all fields of the attribute table. All data and projects have WGS 1984 coordinate system (without projection).
Delineation of windthrows was based on the full archive of Landsat images and two Landsat-derived products on forest cover change, namely the Global Forest Change and the Eastern’ Europe Forest Cover Change. Subsequent verification and analysis of each windthrow was carried out to determine a type of storm events with a degree of event certainty, dates (date ranges) and time (time ranges) of an event, windthrow geometrical characteristics. The database contains 102,747 elementary areas of damaged forest that were combined into 700 windthrows caused by 486 convective or non-convective storm events. The database includes stand-replacing windthrows only, which an area > 5 ha or > 25 ha for events caused by tornadoes or other storms, respectively. Additional information contained weather station reports and event description from media sources is also provided.. 
The compiled database provides a valuable source of spatial and temporal information on windthrows in the ER and can be successfully used both in forestry and severe storm studies.";;;;
Related to:;Andrey Shikhov, Alexander Chernokulsky, Igor Azhigov and Anastasia Semakina (2020): A satellite-derived database of stand-replacing windthrows in boreal forests of the European Russia in 1986–2017;;;;
Further details:;Complete database, original files (https://doi.org/10.6084/m9.figshare.12073278.v5);;;;
;;;;;
Coverage:;MEDIAN LATITUDE: 59.7959 * MEDIAN LONGITUDE: 43.7128* SOUTH-BOUND LATITUDE: 52,36703 * WEST-BOUND LONGITUDE: 28,09566 * NORTH-BOUND LATITUDE: 66,55899 * EAST-BOUND LONGITUDE: 61,14187;;;;
;DATE/TIME START: 1986-01-01 T00:00:00 * DATE/TIME END: 2017-09-19T00:00:00;;;;
Comment:;Affiliations: ;;;;
;-----;;;;
;Andrey Shikhov:;;;;
;Perm State University, Perm, Russia, 614990;;;;
;-----;;;;
;Alexander Chernokulsky:;;;;
;A.M. Obukhov Institute of Atmospheric Physics, Russian Academy of Sciences, Moscow, Russia, 119017;;;;
;-----;;;;
;Igor Azhigov:;;;;
;Perm State University, Perm, Russia, 614990;;;;
;-----;;;;
;Anastasia Semakina:;;;;
;Perm State University, Perm, Russia, 614990;;;;
;-----;;;;
;;;;;
;;;;;
OBJECTID;Windthrow ID;ID of storm event;Area (km2);lat_center;long_center
0;1;3;0.00900001;63.66690063;51.17079926
1;1;3;0.0027;63.66820145;51.16650009
2;1;3;0.077399999;63.67160034;51.16400146
3;1;3;0.056699999;63.67480087;51.16059875
4;1;3;0.071099997;63.67760086;51.15650177
5;1;3;0.027000001;63.71450043;51.12659836
6;1;3;0.00270001;63.71699905;51.12490082
7;1;3;0.00269999;63.72219849;51.11560059
8;1;3;0.0018;63.7234993;51.11259842
9;1;3;0.00180001;63.72719955;51.11090088
10;2;4;0.0297;60.59909821;54.62670135
11;2;4;0.062999897;60.60179901;54.6216011
12;2;4;0.00270001;60.6004982;54.61009979
13;2;4;0.00360001;60.60160065;54.60290146
14;2;4;2.593669891;60.61600113;54.59209824
15;2;4;0.069300003;60.6053009;54.62779999
16;2;4;0.022500001;60.60549927;54.60219955
17;2;4;0.035999998;60.60599899;54.63570023
18;2;4;0.0036;60.60639954;54.62340164
19;2;4;0.0045;60.60639954;54.6291008
20;2;4;0.009;60.60760117;54.59840012
21;2;4;0.027899999;60.60850143;54.62919998
22;2;4;0.0027;60.60779953;54.60979843
23;2;4;0.0027;60.60820007;54.59790039
24;2;4;0.00630001;60.60910034;54.62639999
25;2;4;0.00449999;60.61740112;54.59700012
26;2;4;0.00180001;60.61819839;54.58200073
27;2;4;0.0027;60.61989975;54.59280014
28;2;4;0.00360001;60.61999893;54.59600067
29;2;4;0.0027;60.62310028;54.55670166
30;2;4;0.0108;60.62480164;54.55749893
31;2;4;0.0063;60.62469864;54.58520126
32;2;4;0.00720001;60.62509918;54.58969879
33;2;4;0.0045;60.62559891;54.5868988
34;2;4;0.00360001;60.62630081;54.5882988
35;2;4;0.0117;60.62820053;54.56190109
36;2;4;0.029667201;60.63899994;54.53300095
37;2;4;0.00270001;60.64099884;54.53089905
38;2;4;0.032400001;60.64490128;54.52980042
39;2;4;0.00900001;60.74029922;54.41189957
40;2;4;0.00810002;60.7405014;54.4292984
41;2;4;0.0072;60.74129868;54.42900085
42;2;4;0.00719998;60.74209976;54.41120148
43;2;4;0.00990001;60.74250031;54.41289902
44;2;4;0.0018;60.7417984;54.40169907
45;2;4;0.00180001;60.74290085;54.4117012
46;2;4;0.0045;60.74359894;54.41429901
47;2;4;1.17990005;60.75130081;54.40029907
48;2;4;0.0036;60.7439003;54.42200089
49;2;4;0.0045;60.74409866;54.3832016
50;2;4;0.00540001;60.74459839;54.41350174
51;2;4;0.0261;60.74560165;54.4211998
52;2;4;0.0036;60.74480057;54.41939926
53;2;4;0.0027;60.74530029;54.38779831
54;2;4;0.00720002;60.74710083;54.41999817
55;2;4;0.0018;60.74739838;54.42219925
56;2;4;0.00629999;60.74840164;54.42010117
57;2;4;0.0063;60.74860001;54.39139938
58;2;4;0.00180001;60.74969864;54.38249969
59;2;4;0.00180001;60.74980164;54.41320038
60;2;4;0.0045;60.75019836;54.38389969
61;2;4;0.0027;60.75009918;54.42129898
62;2;4;0.0135;60.75090027;54.38479996
63;2;4;0.00630001;60.75159836;54.42430115
64;2;4;0.0054;60.7519989;54.41339874
65;2;4;0.0099;60.75320053;54.4280014
66;2;4;0.0027;60.7541008;54.38169861
67;2;4;0.0045;60.75469971;54.42449951
68;2;4;0.0099;60.75529861;54.42549896
69;2;4;0.00269999;60.7594986;54.39910126
70;2;4;0.0027;60.76070023;54.38940048
71;3;4;0.035100002;60.96910095;53.97019958
72;3;4;0.0027;60.9679985;53.97259903
73;3;4;0.0063;60.97029877;53.96210098
74;3;4;0.00360001;60.97109985;53.95809937
75;3;4;0.0027;60.97100067;53.96789932
76;3;4;0.0153;60.97180176;53.9720993
77;3;4;0.0036;60.97119904;53.96160126
78;3;4;0.00491336;60.97259903;53.94779968
79;3;4;0.0027;60.97290039;53.95370102
80;3;4;0.00270001;60.97320175;53.96469879
81;3;4;0.0018;60.97370148;53.96300125
82;3;4;0.00989999;60.97460175;53.96260071
83;3;4;0.0027;60.97449875;53.96469879
84;3;4;0.0288;60.9762001;53.95830154
85;3;4;0.00360001;60.97570038;53.96390152
86;3;4;0.00990001;60.97600174;53.96609879
87;3;4;0.043200001;60.97719955;53.96989822
88;3;4;0.0027;60.97719955;53.96260071
89;3;4;0.0144;60.97850037;53.97190094
90;3;4;0.00269999;60.97809982;53.96080017
91;3;4;0.00212238;60.98279953;53.94189835
92;3;4;0.0027;60.98659897;53.94279861
93;3;4;0.0018;60.9878006;53.94290161
94;3;4;0.00540001;60.99119949;53.94540024
95;3;4;0.0027;60.99160004;53.93640137
96;3;4;0.035999998;60.99259949;53.94409943
97;3;4;0.0018;60.99240112;53.93669891
98;4;2;0.00515574;55.46500015;40.45589828
99;4;2;0.043132599;55.46860123;40.46609879
100;4;2;0.473677993;55.47769928;40.48300171
101;4;2;0.0292471;55.49160004;40.50360107
102;4;2;0.069970898;55.49919891;40.51789856
103;4;2;0.00356611;55.5060997;40.52600098
104;4;2;0.034521502;55.50839996;40.52890015
105;5;1;0.00899999;58.4070015;32.05849838
106;5;1;0.00899998;58.40940094;32.0605011
107;5;1;0.053999901;58.4117012;32.04899979
108;5;1;0.00630001;58.41139984;32.05960083
109;5;1;0.0027;58.4117012;32.0617981
110;5;1;0.0018;58.41210175;32.05680084
111;5;1;0.00629999;58.41260147;32.04370117
112;5;1;0.0018;58.41289902;32.06060028
113;5;1;0.0243;58.41419983;32.0646019
114;5;1;0.0117;58.41400146;32.04359818
115;5;1;0.00359999;58.41619873;32.04169846
116;5;1;0.0072;58.41640091;32.0489006
117;5;1;0.0207;58.41740036;32.05960083
118;5;1;0.0117;58.41790009;32.04639816
119;5;1;0.064800002;58.41949844;32.05670166
120;5;1;0.2007;58.42160034;32.04710007
121;5;1;0.0135;58.41880035;32.04079819
122;5;1;0.0405;58.41970062;32.03620148
123;5;1;0.0018;58.41839981;32.04309845
124;5;1;0.0027;58.41899872;32.06230164
125;5;1;0.00450001;58.42050171;32.0522995
126;5;1;0.0126;58.4219017;32.04090118
127;5;1;0.00810001;58.42179871;32.05590057
128;5;1;0.00539999;58.42300034;32.05699921
129;5;1;0.0027;58.4233017;32.05830002
130;5;1;0.00630002;58.42419815;32.05979919
131;5;1;0.109800003;58.42739868;32.05419922
132;5;1;0.0027;58.42490005;32.04740143
133;5;1;0.017999999;58.42559814;32.04240036
134;5;1;0.0027;58.42770004;32.06190109
135;5;1;0.00359999;58.43059921;32.05099869
136;5;1;0.0027;58.43450165;32.06510162
137;5;1;0.0117;58.43529892;32.06729889
138;5;1;0.0018;58.43590164;32.06230164
139;6;11;0.00203109;52.46409988;39.68299866
140;6;11;0.00310044;52.46680069;39.68330002
141;6;11;0.318661988;52.47790146;39.67990112
142;6;11;1.556470037;52.50479889;39.6617012
143;6;11;0.00213548;52.53079987;39.6473999
144;6;11;0.031834099;52.5359993;39.64300156
145;7;10;0.0113066;54.56689835;38.94459915
146;7;10;0.0141619;54.57960129;38.93529892
147;7;10;0.112614997;54.58560181;38.92520142
148;7;10;0.00639796;54.59329987;38.91740036
149;7;10;0.065808997;54.61930084;38.89849854
